time_relative,frame_len,time_delta,ip_src,ip_dst,src_port,dst_port,tls_content_type,tls_handshake_type,tls_session_id,tls_version,tls_record_length,tls_sni,tls_content,stream_id,app_category,app_protocol,navigator,operation
0.440818,583,0.000169,74.143.89.107,40.186.59.155,45772,443,22,1.0,470fb741b2b5b500942e7b291681ca4e2998df5aaa55444360bc4dcd79dfd2ff,0x0301,512,content-autofill.googleapis.com,"['d2', '5f', '1e', 'e7', '99', 'db', 'e2', '35', 'fb', 'ad', 'bb', 'ef', '08', '00', '45', '00', '02', '39', 'e2', '6f', '40', '00', '40', '06', '4e', '00', '4a', '8f', '59', '6b', '28', 'ba', '3b', '9b', 'b2', 'cc', '01', 'bb', 'e3', '87', '55', '45', '23', 'd0', '01', '69', '80', '18', '01', 'f6', '69', 'bc', '00', '00', '01', '01', '08', '0a', '84', '32', 'c3', '4f', 'd9', '8a', '18', 'c3', '16', '03', '01', '02', '00', '01', '00', '01', 'fc', '03', '03', 'cd', '30', '2c', '46', 'de', '2e', 'af', 'f7', '19', '85', '37', 'c4', 'ec', '84', 'a2', '46', '6b', 'b7', 'fc', '94', '19', '75', '2f', '62', '15', '6f', 'ea', '07', '9f', 'b7', 'd1', 'de', '20', '47', '0f', 'b7', '41', 'b2', 'b5', 'b5', '00', '94', '2e', '7b', '29', '16', '81', 'ca', '4e', '29', '98', 'df', '5a', 'aa', '55', '44', '43', '60', 'bc', '4d', 'cd', '79', 'df', 'd2', 'ff', '00', '22', '1a', '1a', '13', '01', '13', '02', '13', '03', 'c0', '2b', 'c0', '2f', 'c0', '2c', 'c0', '30', 'cc', 'a9', 'cc', 'a8', 'c0', '13', 'c0', '14', '00', '9c', '00', '9d', '00', '2f', '00', '35', '00', '0a', '01', '00', '01', '91', 'ba', 'ba', '00', '00', '00', '00', '00', '24', '00', '22', '00', '00', '1f', '63', '6f', '6e', '74', '65', '6e', '74', '2d', '61', '75', '74', '6f', '66', '69', '6c', '6c', '2e', '67', '6f', '6f', '67', '6c', '65', '61', '70', '69', '73', '2e', '63', '6f', '6d', '00', '17', '00', '00', 'ff', '01', '00', '01', '00', '00', '0a', '00', '0a', '00', '08', '3a', '3a', '00', '1d', '00', '17', '00', '18', '00', '0b', '00', '02', '01', '00', '00', '23', '00', '00', '00', '10', '00', '0e', '00', '0c', '02', '68', '32', '08', '68', '74', '74', '70', '2f', '31', '2e', '31', '00', '05', '00', '05', '01', '00', '00', '00', '00', '00', '0d', '00', '14', '00', '12', '04', '03', '08', '04', '04', '01', '05', '03', '08', '05', '05', '01', '08', '06', '06', '01', '02', '01', '00', '12', '00', '00', '00', '33', '00', '2b', '00', '29', '3a', '3a', '00', '01', '00', '00', '1d', '00', '20', '04', 'fa', 'a8', 'd6', '4b', '7f', '8b', 'ec', 'd2', '40', '00', 'b4', '85', '19', '7b', 'c9', '36', '16', '0e', 'e1', 'b1', '76', '19', '9d', 'ac', '1e', '24', '7c', '00', '92', 'f6', '3b', '00', '2d', '00', '02', '01', '01', '00', '2b', '00', '0b', '0a', 'ba', 'ba', '03', '04', '03', '03', '03', '02', '03', '01', '00', '1b', '00', '03', '02', '00', '02', '1a', '1a', '00', '01', '00', '00', '15', '00', 'b9', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00']",74.143.89.107:45772->40.186.59.155:443,mldit,AppProtocol_Spotify,Navigator_google-chrome,Ope_BrowseRandomClick
0.486663,1484,0.008753,40.186.59.155,74.143.89.107,443,45772,"22,20",2.0,470fb741b2b5b500942e7b291681ca4e2998df5aaa55444360bc4dcd79dfd2ff,"0x0303,0x0303","122,1",,"['e2', '35', 'fb', 'ad', 'bb', 'ef', 'd2', '5f', '1e', 'e7', '99', 'db', '08', '00', '45', '00', '05', 'be', '56', 'af', '00', '00', '75', '06', 'e1', '3b', '28', 'ba', '3b', '9b', '4a', '8f', '59', '6b', '01', 'bb', 'b2', 'cc', '23', 'd0', '01', '69', 'e3', '87', '57', '4a', '80', '10', '00', 'f0', '2c', 'fc', '00', '00', '01', '01', '08', '0a', 'd9', '8a', '18', 'f1', '84', '32', 'c3', '4f', '16', '03', '03', '00', '7a', '02', '00', '00', '76', '03', '03', '92', 'c4', 'f2', '88', 'f4', 'c0', '7f', '0f', '2c', '45', '16', '9a', 'd9', '01', '68', '38', '96', '07', '0f', 'c3', '74', '34', 'ae', 'a7', 'eb', '58', '7e', '1b', '84', '7a', '41', '6a', '20', '47', '0f', 'b7', '41', 'b2', 'b5', 'b5', '00', '94', '2e', '7b', '29', '16', '81', 'ca', '4e', '29', '98', 'df', '5a', 'aa', '55', '44', '43', '60', 'bc', '4d', 'cd', '79', 'df', 'd2', 'ff', '13', '01', '00', '00', '2e', '00', '33', '00', '24', '00', '1d', '00', '20', '92', '5e', '0f', 'b1', '1d', 'bb', 'd6', 'a7', '80', '4c', '15', '17', 'b3', '6e', '48', 'f5', '32', 'bb', '7b', '92', 'a2', 'ba', '5e', '5b', '8a', '21', 'd3', '62', '5d', '64', 'ae', '11', '00', '2b', '00', '02', '03', '04', '14', '03', '03', '00', '01', '01', '17', '03', '03', '0a', 'd5', '67', '1d', 'f4', 'e8', '23', 'bb', '42', '1a', '6c', '7d', '3c', '46', 'bc', '8d', 'bf', '6e', 'bc', '5c', '37', 'ea', '5c', '54', 'ec', '63', '2d', 'd7', 'ed', '0b', 'eb', 'ea', '23', '48', '39', 'a8', '05', 'a7', '06', '12', '6d', 'b4', 'fe', '67', 'f3', '2c', 'ce', 'ca', '4e', 'd8', 'e7', '6f', '22', '95', 'b0', '08', 'e6', '81', '63', 'a9', '2f', '96', '95', 'a0', '8c', 'db', '53', '8f', '63', '10', '5b', '36', 'df', 'e3', 'f1', 'f8', 'c9', 'd7', '91', 'af', '6c', 'fe', 'b6', '8e', '66', 'e9', '9d', 'db', 'd3', 'cb', '97', '67', 'a9', '76', '61', '2b', '7a', '18', 'c9', '98', 'f3', '93', '71', '3e', '6b', '3a', 'a0', 'a2', 'e9', '05', '39', '0b', 'a7', 'f8', 'fc', '59', '26', '1a', '21', '43', '8a', 'ce', '2e', 'f7', '64', '16', '3d', '39', 'd0', 'e3', 'b3', 'ae', '28', 'a7', 'aa', '16', '9f', '2d', 'c3', '2a', 'b7', '4f', '45', '27', '2f', 'c2', '70', 'bf', '4a', '40', 'a8', '92', 'f0', '5e', 'f7', '11', '02', '94', 'c7', '7a', '2d', 'da', 'e4', '1a', 'bf', '48', 'a2', 'ad', 'b1', '2e', '8d', '64', 'ed', '96', 'f0', '35', 'fe', 'b0', '2a', '9d', 'f3', 'b1', 'd4', '0f', 'e7', 'fb', '5a', 'f1', 'ff', '58', '45', 'ff', 'ec', '98', '3c', 'df', '9f', '8b', 'bf', 'a0', '50', '67', '2d', '5f', '57', '12', '18', 'bf', '65', '9a', '08', '2b', '3b', '4b', '43', '7f', '98', 'ee', '9d', '1c', 'f5', 'c2', '40', 'b9', '2b', 'f7', '95', 'af', '41', '68', '99', '40', 'ed', 'e3', 'be', '41', '6c', 'ad', '82', '32', '96', '08', '07', '1b', '5f', '7b', '16', '1b', 'a9', '0f', '0f', 'ac', 'ee', '04', 'c7', '75', '29', 'b2', 'ad', '88', '53', '5b', '8b', '6a', 'a4', 'd9', 'b7', '0b', '2d', 'db', '32', '39', 'c7', 'fc', '6c', '61', 'ab', 'c2', '11', 'c7', '88', '7f', '94', '9b', 'b9', '9c', '3c', '18', '95', '1f', '73', 'cb', '20', 'f7', 'f8', '55', '62', '65', '9e', 'd5', '56', 'a3', '9d', 'c0', 'e3', '72', '2c', '70', '2b', '26', '83', '14', '2e', '27', '9b', '01', '45', '9b', '63', '91', '6a', '07', '9b', 'b9', '88', '7c', '10', 'bf', 'af', '6d', '57', '19', '44', 'cf', 'db', 'd1', 'd0', '19', 'd7', 'ae', 'e8', 'ab', '18', '8d', 'da', '3c', 'e4', '51', 'c7', '98', '38', 'c4', '88', 'fc', 'ad', '7f', '16', '92', 'cd', '20', 'c3', 'b7', '80', '60', 'a8', 'cb', '1b', '29', '7c', '3c', '54', 'f1', '74', '0e', '94', 'a9', '42', 'ff', '05', 'dc', 'eb', '22', '02', '08', '05', '6e', '5a', '6f', '42', '3e', 'e2', 'f8', '16', '87', '91', '0b', 'a7', '07']",40.186.59.155:443->74.143.89.107:45772,mldit,AppProtocol_Spotify,Navigator_google-chrome,Ope_BrowseRandomClick
0.490727,1559,0.004041,40.186.59.155,74.143.89.107,443,45772,,,,0x0303,2773,,"['e2', '35', 'fb', 'ad', 'bb', 'ef', 'd2', '5f', '1e', 'e7', '99', 'db', '08', '00', '45', '00', '06', '09', '56', 'b0', '00', '00', '75', '06', 'e0', 'ef', '28', 'ba', '3b', '9b', '4a', '8f', '59', '6b', '01', 'bb', 'b2', 'cc', '23', 'd0', '06', 'f3', 'e3', '87', '57', '4a', '80', '18', '00', 'f0', '6d', '8c', '00', '00', '01', '01', '08', '0a', 'd9', '8a', '18', 'f1', '84', '32', 'c3', '4f', 'b8', '8c', '4e', '1c', 'b4', '80', '0e', 'ef', 'bd', 'a4', 'd7', '81', 'ea', '24', '2d', '89', 'd8', '4a', '29', 'e4', '4c', 'b1', 'dd', '0f', 'a5', '5e', '3f', '72', '2b', '71', '19', 'f2', '8a', '5f', '2b', 'd5', 'f7', 'c0', '92', '5a', '1d', '44', '98', '56', 'b7', 'c6', 'e8', 'e9', '84', '4d', '34', 'bd', 'f6', 'f7', '00', '43', '4d', '2f', '12', '64', 'c5', '10', 'eb', '6d', '13', '0f', 'ff', 'ea', '5a', 'f3', 'e6', '86', 'ae', '1c', 'a5', '89', 'fd', 'e2', 'e6', '8f', 'f9', 'cf', '86', '3d', 'a0', '42', '32', '1c', 'ba', 'bf', '91', '67', '2c', '40', 'e6', 'bf', 'ac', '26', 'fe', 'ac', '17', '63', '5a', '38', 'd8', 'c1', '52', 'd7', '0c', '8e', '42', '55', '37', 'b7', 'e3', 'fa', 'a6', '36', '22', 'c5', '53', 'e7', 'ec', '0c', 'a4', 'ce', '90', 'b1', 'c9', 'c1', '44', '91', 'bf', 'f4', '5a', 'd5', 'f2', '4c', '0e', '65', '89', '93', '0e', 'f2', '62', '54', '0c', '95', 'a8', '30', '9b', 'a8', 'd3', '43', '4a', '46', '58', '8a', 'dd', '65', 'e8', '6c', '11', '2c', '6b', 'd2', '0e', '88', 'b8', 'e0', '78', 'b1', '60', '23', 'a6', '7c', 'a2', '9b', '03', '2a', 'dd', '3f', 'd0', '19', 'ed', '8c', '26', 'a5', '8e', '0a', 'ce', '65', '96', '12', '85', '14', '5f', '27', '83', '28', '70', '77', '38', '47', 'f0', '1b', 'ca', '02', 'f3', '5b', '20', '1b', '74', '88', '23', '97', '8b', '25', '4a', '27', '7b', '36', 'b6', '09', 'ae', '59', 'f8', '88', '97', 'cc', '39', '88', '0e', '0e', '5c', '1a', '7c', '12', '68', '27', 'dd', '00', '05', '02', 'fb', '9c', '27', '33', '78', 'eb', '14', '86', '54', '0d', '3e', '75', 'd7', 'cc', '3e', '8b', '0d', 'c1', '88', '11', '0b', 'db', 'f4', '5d', '41', '83', 'a3', '3b', '17', '57', '10', 'f3', '6d', 'c6', 'c4', '9b', '77', 'c1', 'd9', 'b0', 'af', 'e5', '30', 'c9', '47', '1d', 'b3', '7d', 'b7', 'ae', 'bd', 'fc', 'bd', '13', '7e', '1d', '96', '24', 'aa', '7e', '6a', 'd3', 'f2', 'd9', '5f', '86', '1f', '93', '14', '85', 'b6', '96', '9a', '9e', '5d', '11', '90', 'c6', '11', 'b0', 'dc', '7c', '75', '0d', '8c', '5e', 'b6', '60', 'ad', 'd6', 'a4', 'd6', 'cd', '99', '4c', 'f1', 'df', 'd3', '6a', '68', '75', '0b', '60', '72', '36', '1a', 'a7', 'e4', '55', 'f7', 'fe', '1a', '67', 'ba', '29', '94', 'e2', 'c4', '74', '8d', '30', '21', 'a5', 'bc', '69', '57', 'fc', '63', '03', 'a2', 'cd', 'f9', '2f', '97', '25', '5d', '16', '52', 'aa', '94', 'd7', '4a', 'c7', 'd1', 'cd', 'cb', 'b7', '26', '6c', '46', 'b9', '69', 'a2', 'bd', 'ad', '4b', '09', 'a3', '92', '5f', '21', 'd7', '8b', '3f', 'b1', '4c', '23', '03', 'bf', '8e', '35', 'b1', '69', '8f', 'ad', '26', '85', '22', 'cd', '2e', 'd5', '93', 'c2', '91', '53', 'f7', '0a', 'a1', '39', '48', '61', '0c', '03', '46', 'd9', '1f', '04', '1f', 'a8', 'cd', '83', 'be', '5b', 'dc', '78', 'ea', '38', '44', 'd4', 'b9', '85', 'd9', '58', '46', '6f', '9b', 'ca', '93', '0d', '2a', '7b', '26', 'ef', '17', '60', 'a1', 'a0', '57', '95', 'bf', '6e', 'aa', '6e', 'e8', '8a', 'a1', '22', 'e1', '66', 'f5', '83', '4b', '3e', 'b8', '49', '95', 'a6', 'bb', 'e6', 'fa', '34', 'd4', '41', 'a3', '89', '37', '40', '9c', '6b', 'a1', '64', '0a', 'd0', '3d', '5c', '7e', 'fe', '12', 'fa', 'f7', '38', '78', 'bb', '73', '89', '70', '20', 'bb', 'c3', '4f', '01', 'de', '3d', '56', '78', '3b', '4e', 'be', '94', '81']",40.186.59.155:443->74.143.89.107:45772,mldit,AppProtocol_Spotify,Navigator_google-chrome,Ope_BrowseRandomClick
0.492667,130,0.001923,74.143.89.107,40.186.59.155,45772,443,20,,,"0x0303,0x0303","1,53",,"['d2', '5f', '1e', 'e7', '99', 'db', 'e2', '35', 'fb', 'ad', 'bb', 'ef', '08', '00', '45', '00', '00', '74', 'e2', '72', '40', '00', '40', '06', '4f', 'c2', '4a', '8f', '59', '6b', '28', 'ba', '3b', '9b', 'b2', 'cc', '01', 'bb', 'e3', '87', '57', '4a', '23', 'd0', '0c', 'c8', '80', '18', '01', 'f5', '67', 'f7', '00', '00', '01', '01', '08', '0a', '84', '32', 'c3', '83', 'd9', '8a', '18', 'f1', '14', '03', '03', '00', '01', '01', '17', '03', '03', '00', '35', '51', '1d', '8e', '38', 'b3', '6c', 'ed', '92', '1d', '94', 'f7', '9d', '4f', 'de', 'dd', '0b', 'ea', 'e2', '6f', '4a', '02', '1b', 'be', '35', '51', '18', 'ec', 'f6', '7f', 'b1', 'b7', '23', 'c9', '8f', 'f5', '69', '32', 'e2', '69', '56', 'fc', '10', '5a', 'b0', 'af', '88', '84', 'ab', '85', '8c', 'a0', '47', '24', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00']",74.143.89.107:45772->40.186.59.155:443,mldit,AppProtocol_Spotify,Navigator_google-chrome,Ope_BrowseRandomClick
0.524216,646,0.021639,40.186.59.155,74.143.89.107,443,45772,,,,"0x0303,0x0303","513,57",,"['e2', '35', 'fb', 'ad', 'bb', 'ef', 'd2', '5f', '1e', 'e7', '99', 'db', '08', '00', '45', '00', '02', '78', '56', 'c2', '00', '00', '75', '06', 'e4', '6e', '28', 'ba', '3b', '9b', '4a', '8f', '59', '6b', '01', 'bb', 'b2', 'cc', '23', 'd0', '0c', 'c8', 'e3', '87', '57', '8a', '80', '18', '00', 'f0', '01', 'e5', '00', '00', '01', '01', '08', '0a', 'd9', '8a', '19', '19', '84', '32', 'c3', '83', '17', '03', '03', '02', '01', '5e', '19', '92', '3d', '4a', 'fb', '88', '7a', 'b9', '0c', '56', '3f', '58', '37', '21', 'd1', 'f3', '89', '3e', '2e', 'de', '25', '4d', '18', 'b1', '78', 'e4', '1c', '27', 'ca', '6a', 'b4', '94', '7a', 'c6', 'c0', '8d', 'd2', 'eb', 'a3', '64', 'fa', '5c', '7c', 'fc', 'd7', '56', '03', 'e3', '51', 'a3', '6e', 'be', '52', '5c', '25', '4b', '88', 'b5', 'a5', '28', 'd9', '52', '87', 'c9', '57', 'd9', '90', 'c9', 'e0', '31', 'e4', 'd9', '30', 'f5', '31', '91', 'a9', '77', 'cc', 'aa', 'a0', 'eb', '94', '38', '9a', '26', 'b1', '74', 'f8', '9a', '49', '0b', 'c0', '52', 'f6', 'c8', '85', '99', '94', 'd7', 'c2', 'cd', '08', '8b', 'd5', 'bd', '13', 'fe', 'd3', 'c8', '11', '1a', 'c8', '48', 'b3', '8d', '1c', 'f8', '00', 'a7', '2f', '2d', '71', 'c1', '64', 'f8', '8c', 'a1', '02', '76', 'b4', '56', '14', '6b', '9e', '30', '45', 'c1', '10', 'a5', '4c', 'ba', 'dc', '8b', '07', 'b4', 'd0', 'f4', 'c1', 'dc', 'd4', 'a9', 'b4', '5a', '9f', 'b4', '5f', 'e7', '92', 'cc', '59', 'd0', 'bf', '3e', 'c7', '49', 'a0', '92', 'ad', '46', '73', 'd6', 'fe', '39', '7c', 'af', '31', '4f', '9b', 'ec', 'cd', '96', 'dd', '53', 'ef', 'cb', 'a3', '18', '24', '23', '07', '2e', '10', '64', '6c', 'b4', '2e', '1f', '27', 'a7', '10', '46', '94', '55', '36', '7a', '03', 'd7', '59', '4e', 'a4', '6e', '16', '7a', 'de', '5b', '81', '85', 'f8', '6b', '37', '9d', '7d', 'ae', 'd3', '9e', '40', '43', '44', '5e', '99', 'd5', '33', '8c', '57', 'e5', '00', 'b8', 'a3', 'fd', '93', '56', '56', '72', '42', '4d', '22', '54', 'b1', '92', '4a', '51', '67', 'a5', '0e', '07', 'b0', '24', 'c4', '36', '6b', 'b2', '64', '7a', '8b', 'd7', '88', 'f3', '13', '47', '1c', 'c8', '83', 'e9', '88', 'ad', '9d', '98', '84', 'd3', '31', '90', '65', '93', '3b', 'd5', '57', '55', '3b', '9a', 'bf', '7a', '8e', '35', '32', '61', '9e', '2b', 'b2', '2f', '22', '90', '98', '5b', '7d', '63', '7f', '92', 'b5', '90', '63', '83', 'f8', '69', 'b9', 'f7', '5b', '86', '97', '14', '73', 'ea', '7d', '7a', 'cb', '52', '34', '11', '74', '17', 'f4', 'd9', '9d', '69', '64', 'f2', '20', 'a2', '1e', '36', 'b4', '56', 'a0', '48', '10', '8f', '38', 'fa', '93', 'c7', '6e', '0d', 'c7', '02', 'a4', '45', 'aa', '7b', '72', 'c2', '82', 'c6', 'ee', '62', 'e2', '98', '8a', 'df', '89', 'ae', '65', 'b3', '6a', '57', '05', '3e', '06', 'ff', '9a', '4e', '53', 'a7', 'c2', '09', 'b2', '2d', '5f', 'aa', '34', '37', '93', '21', 'f8', '64', 'f8', '51', '07', '44', '6e', '5c', 'e1', 'e2', '82', '35', '69', '72', 'c9', '20', '1a', 'ae', 'c1', '8c', 'a9', 'c0', '81', '73', '99', 'a8', '05', 'a1', 'ea', 'a6', '40', 'b1', '89', '51', 'a3', 'ac', 'c2', '88', 'bb', 'd4', '42', '7d', 'fc', '5a', 'a5', '15', 'e0', '45', '7a', '46', '20', '0c', '86', '0d', '43', 'b5', 'ab', 'a3', 'f2', 'de', '33', '3d', '85', '6d', '14', 'd6', 'df', 'e2', 'db', '92', '8f', '2f', 'd9', 'ca', '20', '67', '97', 'd7', 'cd', 'c6', '2e', '0a', 'a9', '14', '61', '9b', '54', '32', '3f', 'fd', 'c5', '74', '25', '23', '55', 'e6', 'ef', 'ad', '69', '8d', 'ff', 'a6', 'b3', '28', '12', 'bb', '04', 'c7', '9c', '71', '19', 'c1', '24', 'b8', '28', 'd4', '5d', '0c', '26', 'cd', '17', '03', '03', '00', '39', '63', '74', '18', 'e3', '5b', '27', 'c0', '73', 'b7', '65', 'ad']",40.186.59.155:443->74.143.89.107:45772,mldit,AppProtocol_Spotify,Navigator_google-chrome,Ope_BrowseRandomClick
