time_relative,frame_len,time_delta,ip_src,ip_dst,src_port,dst_port,tls_content_type,tls_handshake_type,tls_session_id,tls_version,tls_record_length,tls_sni,tls_content,stream_id,app_category,app_protocol,navigator,operation
5.352562,583,0.00051,103.7.45.35,239.118.237.55,49060,443,22,1,5b774eaac01741311b49090ef8d6ae37cc842440b3e8283ffbccc6ac32986e02,0x0301,512,features.opera-api.com,"['d6', '5d', '22', '1d', 'a7', '76', 'ce', '39', 'f3', '97', '69', '63', '08', '00', '45', '00', '02', '39', '63', '1c', '40', '00', '40', '06', '64', 'ca', '67', '07', '2d', '23', 'ef', '76', 'ed', '37', 'bf', 'a4', '01', 'bb', 'e9', '9c', '76', 'b6', 'ba', '68', '24', '41', '80', '18', '01', 'f6', 'fa', 'ab', '00', '00', '01', '01', '08', '0a', '5b', 'bf', '89', '2d', '92', 'f1', '5e', '32', '16', '03', '01', '02', '00', '01', '00', '01', 'fc', '03', '03', '08', '99', '21', '58', '67', '1f', '46', '51', '86', '99', 'a1', '20', '6b', '72', '75', 'ae', '85', 'a1', '5d', '67', '49', 'e4', 'bb', '04', '56', '6a', '59', '91', '8c', '94', 'd7', '70', '20', '5b', '77', '4e', 'aa', 'c0', '17', '41', '31', '1b', '49', '09', '0e', 'f8', 'd6', 'ae', '37', 'cc', '84', '24', '40', 'b3', 'e8', '28', '3f', 'fb', 'cc', 'c6', 'ac', '32', '98', '6e', '02', '00', '22', 'da', 'da', '13', '01', '13', '02', '13', '03', 'c0', '2b', 'c0', '2f', 'c0', '2c', 'c0', '30', 'cc', 'a9', 'cc', 'a8', 'c0', '13', 'c0', '14', '00', '9c', '00', '9d', '00', '2f', '00', '35', '00', '0a', '01', '00', '01', '91', '6a', '6a', '00', '00', '00', '00', '00', '1b', '00', '19', '00', '00', '16', '66', '65', '61', '74', '75', '72', '65', '73', '2e', '6f', '70', '65', '72', '61', '2d', '61', '70', '69', '2e', '63', '6f', '6d', '00', '17', '00', '00', 'ff', '01', '00', '01', '00', '00', '0a', '00', '0a', '00', '08', '0a', '0a', '00', '1d', '00', '17', '00', '18', '00', '0b', '00', '02', '01', '00', '00', '23', '00', '00', '00', '10', '00', '0e', '00', '0c', '02', '68', '32', '08', '68', '74', '74', '70', '2f', '31', '2e', '31', '00', '05', '00', '05', '01', '00', '00', '00', '00', '00', '0d', '00', '14', '00', '12', '04', '03', '08', '04', '04', '01', '05', '03', '08', '05', '05', '01', '08', '06', '06', '01', '02', '01', '00', '12', '00', '00', '00', '33', '00', '2b', '00', '29', '0a', '0a', '00', '01', '00', '00', '1d', '00', '20', 'f5', '31', '8a', 'ca', '2f', '5c', '76', '9d', 'fe', '7d', '74', 'c2', '8d', '69', 'e5', 'bf', 'b7', 'd8', 'd9', '31', 'd8', '4c', 'a8', '37', 'd8', '1c', '2a', '8d', 'a7', '39', 'a0', '11', '00', '2d', '00', '02', '01', '01', '00', '2b', '00', '0b', '0a', '0a', '0a', '03', '04', '03', '03', '03', '02', '03', '01', '00', '1b', '00', '03', '02', '00', '02', '1a', '1a', '00', '01', '00', '00', '15', '00', 'c2', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00']",103.7.45.35:49060->239.118.237.55:443,mldit,AppProtocol_Shoutcast,Navigator_opera,Ope_PlayContent
5.401675,1514,0.005806,239.118.237.55,103.7.45.35,443,49060,22,2,,0x0303,88,,"['ce', '39', 'f3', '97', '69', '63', 'd6', '5d', '22', '1d', 'a7', '76', '08', '00', '45', '00', '05', 'dc', '31', 'c6', '40', '00', '35', '06', '9d', '7d', 'ef', '76', 'ed', '37', '67', '07', '2d', '23', '01', 'bb', 'bf', 'a4', 'ba', '68', '24', '41', 'e9', '9c', '78', 'bb', '80', '10', '00', '3b', 'ed', '88', '00', '00', '01', '01', '08', '0a', '92', 'f1', '5e', '40', '5b', 'bf', '89', '2d', '16', '03', '03', '00', '58', '02', '00', '00', '54', '03', '03', 'ca', 'af', 'ff', 'c0', '51', '44', '0c', '49', '28', '8b', 'e9', '24', '69', 'b1', '26', '99', '90', 'ba', 'b3', '28', '9e', 'f9', 'b3', '3b', '6b', 'e8', '47', 'cd', '61', '0f', '49', '33', '00', 'c0', '30', '00', '00', '2c', 'ff', '01', '00', '01', '00', '00', '00', '00', '00', '00', '0b', '00', '04', '03', '00', '01', '02', '00', '23', '00', '00', '00', '05', '00', '00', '00', '17', '00', '00', '00', '10', '00', '0b', '00', '09', '08', '68', '74', '74', '70', '2f', '31', '2e', '31', '16', '03', '03', '0b', '8d', '0b', '00', '0b', '89', '00', '0b', '86', '00', '06', 'cb', '30', '82', '06', 'c7', '30', '82', '05', 'af', 'a0', '03', '02', '01', '02', '02', '10', '04', '04', '38', 'f2', '13', '7d', '76', 'c7', '9c', '39', '7f', '4c', 'bb', '54', '37', '52', '30', '0d', '06', '09', '2a', '86', '48', '86', 'f7', '0d', '01', '01', '0b', '05', '00', '30', '70', '31', '0b', '30', '09', '06', '03', '55', '04', '06', '13', '02', '55', '53', '31', '15', '30', '13', '06', '03', '55', '04', '0a', '13', '0c', '44', '69', '67', '69', '43', '65', '72', '74', '20', '49', '6e', '63', '31', '19', '30', '17', '06', '03', '55', '04', '0b', '13', '10', '77', '77', '77', '2e', '64', '69', '67', '69', '63', '65', '72', '74', '2e', '63', '6f', '6d', '31', '2f', '30', '2d', '06', '03', '55', '04', '03', '13', '26', '44', '69', '67', '69', '43', '65', '72', '74', '20', '53', '48', '41', '32', '20', '48', '69', '67', '68', '20', '41', '73', '73', '75', '72', '61', '6e', '63', '65', '20', '53', '65', '72', '76', '65', '72', '20', '43', '41', '30', '1e', '17', '0d', '31', '38', '31', '30', '32', '32', '30', '30', '30', '30', '30', '30', '5a', '17', '0d', '32', '30', '31', '31', '30', '34', '31', '32', '30', '30', '30', '30', '5a', '30', '52', '31', '0b', '30', '09', '06', '03', '55', '04', '06', '13', '02', '4e', '4f', '31', '0d', '30', '0b', '06', '03', '55', '04', '07', '13', '04', '4f', '73', '6c', '6f', '31', '1a', '30', '18', '06', '03', '55', '04', '0a', '13', '11', '4f', '70', '65', '72', '61', '20', '53', '6f', '66', '74', '77', '61', '72', '65', '20', '41', '53', '31', '18', '30', '16', '06', '03', '55', '04', '03', '0c', '0f', '2a', '2e', '6f', '70', '65', '72', '61', '2d', '61', '70', '69', '2e', '63', '6f', '6d', '30', '82', '01', '22', '30', '0d', '06', '09', '2a', '86', '48', '86', 'f7', '0d', '01', '01', '01', '05', '00', '03', '82', '01', '0f', '00', '30', '82', '01', '0a', '02', '82', '01', '01', '00', 'ce', '99', '11', '19', '0f', '63', 'bb', 'da', '17', '4d', '98', '78', 'd9', '75', '85', '8c', 'cb', '0e', '93', '18', 'c6', '99', '19', 'e3', 'f3', '95', 'ca', '1f', 'c5', 'e4', '69', 'c3', '6d', 'd6', 'b9', '9e', 'd8', 'b1', '78', '89', 'e4', '7e', 'c5', '64', '82', '95', '2c', 'cd', '85', '3c', 'bd', '8f', '09', 'cd', '57', '38', '3f', '23', 'e0', '81', '35', 'c2', '60', '92', '15', '31', 'cd', '3b', '2c', 'da', '36', '2a', 'c6', '3e', '5b', 'b4', '6d', '87', '86', 'ca', 'c6', 'fc', 'b7', 'bb', '14', '75', '3c', 'f1', '87', 'da', 'ce', 'a7', 'f2', 'c0', '31', '77', 'b1', 'ff', 'a1', 'cd', '10', '91', 'c0', '36', '6f', 'db', 'fa', '60', '13', '09', '71', '50', '52', '36', '0b', '52', 'db']",239.118.237.55:443->103.7.45.35:49060,mldit,AppProtocol_Shoutcast,Navigator_opera,Ope_PlayContent
5.408583,1023,0.003188,239.118.237.55,103.7.45.35,443,49060,"22,22,22,22","11,22,12,14",,"0x0303,0x0303,0x0303,0x0303","2957,479,300,4",,"['ce', '39', 'f3', '97', '69', '63', 'd6', '5d', '22', '1d', 'a7', '76', '08', '00', '45', '00', '03', 'f1', '31', 'c8', '40', '00', '35', '06', '9f', '66', 'ef', '76', 'ed', '37', '67', '07', '2d', '23', '01', 'bb', 'bf', 'a4', 'ba', '68', '2f', '91', 'e9', '9c', '78', 'bb', '80', '18', '00', '3b', '7f', '45', '00', '00', '01', '01', '08', '0a', '92', 'f1', '5e', '40', '5b', 'bf', '89', '2d', 'fd', '85', 'cb', '49', 'aa', 'f2', '27', '8b', '99', '72', 'fc', '3e', 'aa', 'd5', '41', '0b', 'da', 'd5', '36', 'a1', 'bf', '1c', '6e', '47', '49', '7f', '5e', 'd9', '48', '7c', '03', 'd9', 'fd', '8b', '49', 'a0', '98', '26', '42', '40', 'eb', 'd6', '92', '11', 'a4', '64', '0a', '57', '54', 'c4', 'f5', '1d', 'd6', '02', '5e', '6b', 'ac', 'ee', 'c4', '80', '9a', '12', '72', 'fa', '56', '93', 'd7', 'ff', 'bf', '30', '85', '06', '30', 'bf', '0b', '7f', '4e', 'ff', '57', '05', '9d', '24', 'ed', '85', 'c3', '2b', 'fb', 'a6', '75', 'a8', 'ac', '2d', '16', 'ef', '7d', '79', '27', 'b2', 'eb', 'c2', '9d', '0b', '07', 'ea', 'aa', '85', 'd3', '01', 'a3', '20', '28', '41', '59', '43', '28', 'd2', '81', 'e3', 'aa', 'f6', 'ec', '7b', '3b', '77', 'b6', '40', '62', '80', '05', '41', '45', '01', 'ef', '17', '06', '3e', 'de', 'c0', '33', '9b', '67', 'd3', '61', '2e', '72', '87', 'e4', '69', 'fc', '12', '00', '57', '40', '1e', '70', 'f5', '1e', 'c9', 'b4', '16', '03', '03', '01', 'df', '16', '00', '01', 'db', '01', '00', '01', 'd7', '30', '82', '01', 'd3', '0a', '01', '00', 'a0', '82', '01', 'cc', '30', '82', '01', 'c8', '06', '09', '2b', '06', '01', '05', '05', '07', '30', '01', '01', '04', '82', '01', 'b9', '30', '82', '01', 'b5', '30', '81', '9e', 'a2', '16', '04', '14', '51', '68', 'ff', '90', 'af', '02', '07', '75', '3c', 'cc', 'd9', '65', '64', '62', 'a2', '12', 'b8', '59', '72', '3b', '18', '0f', '32', '30', '32', '30', '30', '36', '30', '33', '31', '30', '33', '33', '30', '38', '5a', '30', '73', '30', '71', '30', '49', '30', '09', '06', '05', '2b', '0e', '03', '02', '1a', '05', '00', '04', '14', 'cf', '26', 'f5', '18', 'fa', 'c9', '7e', '8f', '8c', 'b3', '42', 'e0', '1c', '2f', '6a', '10', '9e', '8e', '5f', '0a', '04', '14', '51', '68', 'ff', '90', 'af', '02', '07', '75', '3c', 'cc', 'd9', '65', '64', '62', 'a2', '12', 'b8', '59', '72', '3b', '02', '10', '04', '04', '38', 'f2', '13', '7d', '76', 'c7', '9c', '39', '7f', '4c', 'bb', '54', '37', '52', '80', '00', '18', '0f', '32', '30', '32', '30', '30', '36', '30', '33', '31', '30', '33', '33', '30', '38', '5a', 'a0', '11', '18', '0f', '32', '30', '32', '30', '30', '36', '31', '30', '30', '39', '34', '38', '30', '38', '5a', '30', '0d', '06', '09', '2a', '86', '48', '86', 'f7', '0d', '01', '01', '0b', '05', '00', '03', '82', '01', '01', '00', '2e', '2a', '3b', 'e5', '60', 'a9', '2d', 'bb', 'a4', '4d', 'e4', 'c4', '2a', '0b', '64', '70', '6f', 'fa', '74', 'a4', '4d', 'dc', 'a9', '82', '7e', 'cd', '8d', 'db', '45', '64', 'ac', 'ea', '24', '35', 'cc', 'c2', '65', '50', 'ab', '1c', '9c', '3f', '78', '5d', '91', '0b', '8f', '76', 'b7', 'b2', '01', '25', 'f8', '0a', '96', 'd8', 'd8', '5e', '7f', '8e', 'd0', '7a', '33', 'fd', '61', '3c', '40', 'b5', 'a4', '49', '5b', '94', 'c5', 'cb', 'b2', '1c', '8f', '0c', '48', '1a', '48', '6d', '99', 'c6', 'ca', '79', 'b2', '7f', 'a0', '90', 'f3', 'f4', '22', 'ab', 'a8', '63', '80', '93', 'a0', 'e0', '0f', 'e7', 'cb', '4e', '52', 'd2', 'b2', 'e1', '03', '61', '15', 'd1', '3c', 'e7', 'd5', '62', '26', '4b', '43', '8b', 'c4', '42', 'cd', '3c', '48', '79', 'bf', '10', 'c0', '3c', 'f4', 'a0', 'e0', 'ec', '6b', 'c2', '50', 'f5', 'a1', '81', '9d', '65', '51', 'fa', '19', 'cc', '52']",239.118.237.55:443->103.7.45.35:49060,mldit,AppProtocol_Shoutcast,Navigator_opera,Ope_PlayContent
5.413344,159,0.004739,103.7.45.35,239.118.237.55,49060,443,"22,20,22",16,,"0x0303,0x0303,0x0303","37,1,40",,"['d6', '5d', '22', '1d', 'a7', '76', 'ce', '39', 'f3', '97', '69', '63', '08', '00', '45', '00', '00', '91', '63', '20', '40', '00', '40', '06', '66', '6e', '67', '07', '2d', '23', 'ef', '76', 'ed', '37', 'bf', 'a4', '01', 'bb', 'e9', '9c', '78', 'bb', 'ba', '68', '33', '4e', '80', '18', '01', 'f5', 'f9', '03', '00', '00', '01', '01', '08', '0a', '5b', 'bf', '89', '6a', '92', 'f1', '5e', '40', '16', '03', '03', '00', '25', '10', '00', '00', '21', '20', '97', '7b', '10', 'f4', '61', '3a', 'a1', '24', '19', '47', 'e0', 'eb', '48', 'f8', '11', '66', 'f6', '3d', 'df', 'd6', '5a', 'a2', '9c', 'ec', 'c6', 'ba', '0a', '0c', '29', '57', '90', '14', '14', '03', '03', '00', '01', '01', '16', '03', '03', '00', '28', '00', '00', '00', '00', '00', '00', '00', '00', '26', 'aa', 'd6', 'da', '53', '41', 'cd', 'aa', '6a', 'd1', 'f1', '91', '1a', '81', 'b7', 'fe', 'c2', '29', 'e3', 'de', 'e0', '0c', '1b', '3b', '67', '93', '55', '11', 'c4', 'ab', '3b', 'ff', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00']",103.7.45.35:49060->239.118.237.55:443,mldit,AppProtocol_Shoutcast,Navigator_opera,Ope_PlayContent
5.413668,492,0.000324,103.7.45.35,239.118.237.55,49060,443,23,,,0x0303,421,,"['d6', '5d', '22', '1d', 'a7', '76', 'ce', '39', 'f3', '97', '69', '63', '08', '00', '45', '00', '01', 'de', '63', '21', '40', '00', '40', '06', '65', '20', '67', '07', '2d', '23', 'ef', '76', 'ed', '37', 'bf', 'a4', '01', 'bb', 'e9', '9c', '79', '18', 'ba', '68', '33', '4e', '80', '18', '01', 'f5', 'fa', '50', '00', '00', '01', '01', '08', '0a', '5b', 'bf', '89', '6a', '92', 'f1', '5e', '40', '17', '03', '03', '01', 'a5', '00', '00', '00', '00', '00', '00', '00', '01', 'e7', 'ce', 'f3', '3a', '85', '55', '29', 'e4', 'ec', '64', 'ce', '57', 'f6', '13', 'ff', 'dd', '6b', 'd1', '4e', 'a8', 'a2', 'dc', '39', '2c', '7f', 'e9', '21', '89', 'c6', '16', 'a5', '1b', '51', 'cc', '84', '72', 'a1', 'ba', '2d', '7b', '8c', 'ac', 'bc', 'b9', 'cc', '05', '30', '6e', '26', '56', '53', 'e5', '88', '51', 'ac', '8f', '20', '3b', 'e7', '87', 'd4', '69', 'db', 'd8', '8a', '07', '25', 'bd', 'b6', '94', '8e', '24', 'b0', 'ff', '83', 'da', '25', '66', 'ec', '57', '4a', '5b', '07', '48', '32', '54', '2e', '46', '3e', '96', '04', '95', '6c', 'ab', '45', '1e', 'b3', '91', '83', 'ac', 'c2', '39', 'c8', '39', '9a', '81', '81', '5c', '52', 'bc', '69', '47', '1c', '16', '8e', '82', '0a', '9e', '32', '47', '96', '6c', 'd5', '4d', '8f', '33', '26', '57', 'b3', 'b2', 'cc', '6f', 'd7', 'e3', '9e', 'a9', 'cf', '30', '69', 'd2', '99', '4a', '7c', 'ee', 'e9', '99', '3f', '9b', 'b6', 'b7', '09', '9e', '12', '79', '93', '53', '4e', '13', 'c7', 'a8', '6a', '6b', 'a5', 'e7', '76', '63', 'fd', 'bf', 'a2', 'a7', 'c1', 'ba', '19', 'd6', '9c', 'a7', '51', 'a0', '3f', 'bd', '13', '14', '91', '71', 'e6', '6e', '41', 'db', 'c7', '4c', 'd3', 'c3', 'ae', 'fd', 'f4', '1a', 'da', '97', '5b', 'ff', '31', 'a2', '07', '15', '71', '55', 'a9', '9b', '82', 'e6', 'fc', '97', '93', '26', 'a9', '0f', 'a9', 'c6', '4b', '65', '61', '68', '29', '35', '78', 'bc', '0a', 'e5', 'c0', 'b2', '58', '65', '37', 'ea', 'cc', '22', '31', 'c7', 'a1', '34', '77', '90', '63', 'b5', '17', '95', '64', '3f', 'e1', '93', 'fc', 'cc', 'f6', 'e6', '2c', 'a4', '83', 'd1', '7d', '75', 'a3', '0a', 'ef', '57', 'c5', '8b', '35', '58', '1b', 'c1', '98', '42', '43', '3a', '4f', '55', '5a', '04', '03', 'd1', 'e0', '38', '0e', '36', 'e0', '8c', '0a', 'df', '2e', '70', '0c', '20', 'c5', 'f9', '59', '45', '6b', '04', '52', 'dc', '3a', 'f7', '3e', 'bc', '4a', '1d', '41', '9e', 'e0', '09', 'c3', '32', '98', 'b4', 'c0', '91', '3f', '35', '6c', '08', '74', '44', '9b', 'c2', '5d', '00', 'e7', 'e7', '48', '41', 'e0', 'f2', '76', '92', '3e', 'eb', 'd3', '9a', 'd0', '73', '86', '90', '2e', 'd7', 'de', '62', '4c', '7b', '5e', 'fb', 'ff', '8a', '28', 'fe', 'b9', '04', '69', 'cf', '1a', '4d', '7d', '8d', 'c2', '00', '79', '2a', 'b2', 'a2', 'ea', '9f', '53', '71', 'd5', 'c6', 'e3', '1b', 'de', 'c9', '18', '9a', '32', '15', 'cb', 'd5', 'e0', 'cb', 'ea', 'a5', '36', '77', '9f', 'dc', 'b3', '47', '56', '02', '3b', 'c4', '89', 'fe', '4f', '11', 'f6', '5b', 'ae', '06', 'bf', '36', 'de', 'f6', 'c8', '38', '5a', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00']",103.7.45.35:49060->239.118.237.55:443,mldit,AppProtocol_Shoutcast,Navigator_opera,Ope_PlayContent
5.460293,340,0.046625,239.118.237.55,103.7.45.35,443,49060,"22,20,22",4,,"0x0303,0x0303,0x0303","218,1,40",,"['ce', '39', 'f3', '97', '69', '63', 'd6', '5d', '22', '1d', 'a7', '76', '08', '00', '45', '00', '01', '46', '31', 'c9', '40', '00', '35', '06', 'a2', '10', 'ef', '76', 'ed', '37', '67', '07', '2d', '23', '01', 'bb', 'bf', 'a4', 'ba', '68', '33', '4e', 'e9', '9c', '79', '18', '80', '18', '00', '3b', '59', '01', '00', '00', '01', '01', '08', '0a', '92', 'f1', '5e', '4d', '5b', 'bf', '89', '6a', '16', '03', '03', '00', 'da', '04', '00', '00', 'd6', '00', '00', '01', '2c', '00', 'd0', '2a', '17', '87', '25', '9a', 'e7', 'b5', 'e3', '8d', '29', '63', '2e', '04', 'f7', '61', '13', '09', 'ac', 'b9', 'e8', 'aa', '30', 'ba', 'e2', '4a', 'a7', '74', '88', '08', '4f', 'ca', 'a4', '43', 'cd', '87', '52', '2f', 'a1', '96', '1c', '0a', '3b', '87', '66', '6e', 'f2', 'c9', '99', '4d', 'f0', 'e5', 'e7', '40', 'd4', 'd2', 'c4', '02', '1e', '00', 'c7', '32', '22', '5f', 'c1', '96', '1e', 'b9', '22', '2b', '7c', '40', '93', 'ab', '4b', '02', '81', '27', 'b6', '2f', '6f', 'ae', '3e', '92', '97', 'ce', 'c5', 'a5', '92', '21', '14', '03', '52', 'be', 'be', '9e', '45', '8c', '88', '78', '9b', '7a', '90', '17', 'd6', '1c', 'b3', '8f', '84', '11', '08', '91', '1b', 'd2', 'a3', 'a1', '52', 'a2', 'a8', 'c2', '18', 'ce', '4b', 'e5', '0d', '8a', '4c', 'eb', '86', '1d', 'b7', 'e9', '57', '03', '84', 'a2', 'de', 'a7', '6f', '4d', '91', 'd0', 'fd', '65', '2e', '02', 'bf', '48', '69', '6d', 'eb', '92', '07', '17', 'd1', '1d', '82', '93', 'e7', '2d', 'bf', 'a1', '65', '14', '2b', '60', '6d', '09', 'a2', '29', 'd8', '31', '32', '38', '66', '43', 'a1', '1b', '76', 'bc', 'c2', 'e7', '7e', '77', 'c4', '01', 'fd', '75', 'ed', '46', '82', 'b0', 'f7', '3e', '29', '5b', 'f2', '71', '1d', '83', '0f', 'ff', 'a7', 'f5', '58', '75', '54', 'ff', 'bc', '14', '03', '03', '00', '01', '01', '16', '03', '03', '00', '28', 'cc', '53', '90', '27', '18', '0c', 'ed', 'ab', '0c', '68', '44', '3d', 'ba', '63', 'a1', '6a', 'a6', '09', '2c', '54', '9e', 'b6', 'bd', '2c', '52', 'bd', 'e8', 'dc', '2a', '94', '05', 'c9', 'de', '4f', '89', 'a6', '93', 'c5', '8e', '80', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00']",239.118.237.55:443->103.7.45.35:49060,mldit,AppProtocol_Shoutcast,Navigator_opera,Ope_PlayContent
