time_relative,frame_len,time_delta,ip_src,ip_dst,src_port,dst_port,tls_content_type,tls_handshake_type,tls_session_id,tls_version,tls_record_length,tls_sni,tls_content,stream_id,app_category,app_protocol,navigator,operation
0.005893,1514,0.001178,151.121.111.79,246.54.201.70,443,33284,22,2,,0x0303,78,,"['d6', 'bb', '89', 'ff', '67', '63', 'c6', '56', '67', '79', '45', '7f', '08', '00', '45', '00', '05', 'dc', 'c3', 'a0', '40', '00', '2e', '06', 'bd', '35', '97', '79', '6f', '4f', 'f6', '36', 'c9', '46', '01', 'bb', '82', '04', '96', '7c', 'd8', '56', 'd4', '74', '35', '87', '80', '10', '00', 'a8', 'c0', '42', '00', '00', '01', '01', '08', '0a', '5c', '74', '05', '3c', 'b9', 'fb', '68', '40', '16', '03', '03', '00', '4e', '02', '00', '00', '4a', '03', '03', 'e6', 'e1', '25', 'fd', 'bb', 'ea', 'd9', '89', '25', '8e', '90', '96', '4a', 'bc', 'ad', 'e4', '98', '0b', '47', '0b', 'e4', '77', 'bc', '8d', 'ff', 'b6', '30', '77', '5b', 'ca', 'f7', '99', '00', 'c0', '2f', '00', '00', '22', 'ff', '01', '00', '01', '00', '00', '00', '00', '00', '00', '0b', '00', '04', '03', '00', '01', '02', '00', '23', '00', '00', '00', '10', '00', '05', '00', '03', '02', '68', '32', '00', '17', '00', '00', '16', '03', '03', '09', 'f5', '0b', '00', '09', 'f1', '00', '09', 'ee', '00', '05', '52', '30', '82', '05', '4e', '30', '82', '04', '36', 'a0', '03', '02', '01', '02', '02', '12', '04', '41', '1c', '55', '92', '45', '34', 'd5', '70', '92', '46', '22', 'd6', '52', 'a6', '90', '6c', '6a', '30', '0d', '06', '09', '2a', '86', '48', '86', 'f7', '0d', '01', '01', '0b', '05', '00', '30', '4a', '31', '0b', '30', '09', '06', '03', '55', '04', '06', '13', '02', '55', '53', '31', '16', '30', '14', '06', '03', '55', '04', '0a', '13', '0d', '4c', '65', '74', '27', '73', '20', '45', '6e', '63', '72', '79', '70', '74', '31', '23', '30', '21', '06', '03', '55', '04', '03', '13', '1a', '4c', '65', '74', '27', '73', '20', '45', '6e', '63', '72', '79', '70', '74', '20', '41', '75', '74', '68', '6f', '72', '69', '74', '79', '20', '58', '33', '30', '1e', '17', '0d', '32', '30', '30', '35', '31', '35', '30', '34', '33', '31', '33', '39', '5a', '17', '0d', '32', '30', '30', '38', '31', '33', '30', '34', '33', '31', '33', '39', '5a', '30', '17', '31', '15', '30', '13', '06', '03', '55', '04', '03', '13', '0c', '76', '63', '2e', '68', '6f', '74', '6a', '61', '72', '2e', '69', '6f', '30', '82', '01', '22', '30', '0d', '06', '09', '2a', '86', '48', '86', 'f7', '0d', '01', '01', '01', '05', '00', '03', '82', '01', '0f', '00', '30', '82', '01', '0a', '02', '82', '01', '01', '00', 'db', '6e', '59', 'be', '9d', '69', 'fb', 'd1', '52', '9e', 'f9', '29', '2d', '88', '2c', 'ca', '34', '93', 'e1', '18', '31', '17', '1b', '52', 'f9', '8a', 'a0', '39', 'de', '7f', '8c', 'd9', '1a', '17', '2e', 'de', '45', '5e', 'f9', '0e', 'e9', 'e9', '30', '76', 'f7', '34', 'f6', 'd2', '15', '18', '33', '31', '83', '25', '46', '13', '14', 'ab', 'bf', '60', 'e9', '8e', 'bf', '7e', '97', 'ea', 'da', 'e6', '54', '1a', 'd7', '6e', '26', '59', 'ee', '32', 'b0', '7a', '1c', 'f4', '40', '3b', 'c3', '4d', '83', '49', 'c0', 'd7', '8d', '08', 'd8', '9b', 'f5', '5b', 'dc', '6a', '72', '77', '37', '35', 'fc', '25', 'f6', 'b3', 'dc', 'd9', '16', 'd8', '88', '84', 'd8', '6b', 'ef', 'f0', '75', '6f', 'e1', '7e', '48', 'df', '82', 'e1', '28', '43', '4c', '7b', '3a', '8a', '58', '59', '5b', '4c', '49', '49', '52', 'cb', '0a', '17', 'f6', '6b', 'd5', 'f7', '16', '52', 'e5', 'a8', '4d', '62', '57', '5b', 'b4', 'be', 'ef', 'e7', '2f', '67', '1f', 'a2', 'c7', '8c', '19', '83', '36', '55', '74', 'd9', '24', '0d', '64', 'a5', 'd3', 'd4', 'ab', '04', '6b', '8c', 'aa', '42', 'eb', 'b7', '0b', '1c', '22', '60', '2e', '98', 'ec', 'ea', '58', 'd0', '0f', '34', '09', '4a', '54', '86', '70', '75', 'dc', 'ff', '2b', '01', 'ed', 'b0', '62', '90', 'a9', 'd5', '8f', '9e', 'a0', 'b6', 'f5', '8c', '9d', 'eb', '27', 'd9', '6e', 'd0', 'cd', 'a3']",151.121.111.79:443->246.54.201.70:33284,mldit,AppProtocol_Shoutcast,Navigator_google-chrome,Ope_BrowseKeywordSearch
0.009254,1569,0.001556,151.121.111.79,246.54.201.70,443,33284,"22,22,22","11,12,14",,"0x0303,0x0303,0x0303","2549,300,4",,"['d6', 'bb', '89', 'ff', '67', '63', 'c6', '56', '67', '79', '45', '7f', '08', '00', '45', '00', '06', '13', 'c3', 'a1', '40', '00', '2e', '06', 'bc', 'fd', '97', '79', '6f', '4f', 'f6', '36', 'c9', '46', '01', 'bb', '82', '04', '96', '7c', 'dd', 'fe', 'd4', '74', '35', '87', '80', '18', '00', 'a8', '48', '02', '00', '00', '01', '01', '08', '0a', '5c', '74', '05', '3c', 'b9', 'fb', '68', '40', '2e', 'b8', '63', 'ca', 'da', '99', 'a0', '50', '8a', 'c2', 'e4', '99', '00', '04', '96', '30', '82', '04', '92', '30', '82', '03', '7a', 'a0', '03', '02', '01', '02', '02', '10', '0a', '01', '41', '42', '00', '00', '01', '53', '85', '73', '6a', '0b', '85', 'ec', 'a7', '08', '30', '0d', '06', '09', '2a', '86', '48', '86', 'f7', '0d', '01', '01', '0b', '05', '00', '30', '3f', '31', '24', '30', '22', '06', '03', '55', '04', '0a', '13', '1b', '44', '69', '67', '69', '74', '61', '6c', '20', '53', '69', '67', '6e', '61', '74', '75', '72', '65', '20', '54', '72', '75', '73', '74', '20', '43', '6f', '2e', '31', '17', '30', '15', '06', '03', '55', '04', '03', '13', '0e', '44', '53', '54', '20', '52', '6f', '6f', '74', '20', '43', '41', '20', '58', '33', '30', '1e', '17', '0d', '31', '36', '30', '33', '31', '37', '31', '36', '34', '30', '34', '36', '5a', '17', '0d', '32', '31', '30', '33', '31', '37', '31', '36', '34', '30', '34', '36', '5a', '30', '4a', '31', '0b', '30', '09', '06', '03', '55', '04', '06', '13', '02', '55', '53', '31', '16', '30', '14', '06', '03', '55', '04', '0a', '13', '0d', '4c', '65', '74', '27', '73', '20', '45', '6e', '63', '72', '79', '70', '74', '31', '23', '30', '21', '06', '03', '55', '04', '03', '13', '1a', '4c', '65', '74', '27', '73', '20', '45', '6e', '63', '72', '79', '70', '74', '20', '41', '75', '74', '68', '6f', '72', '69', '74', '79', '20', '58', '33', '30', '82', '01', '22', '30', '0d', '06', '09', '2a', '86', '48', '86', 'f7', '0d', '01', '01', '01', '05', '00', '03', '82', '01', '0f', '00', '30', '82', '01', '0a', '02', '82', '01', '01', '00', '9c', 'd3', '0c', 'f0', '5a', 'e5', '2e', '47', 'b7', '72', '5d', '37', '83', 'b3', '68', '63', '30', 'ea', 'd7', '35', '26', '19', '25', 'e1', 'bd', 'be', '35', 'f1', '70', '92', '2f', 'b7', 'b8', '4b', '41', '05', 'ab', 'a9', '9e', '35', '08', '58', 'ec', 'b1', '2a', 'c4', '68', '87', '0b', 'a3', 'e3', '75', 'e4', 'e6', 'f3', 'a7', '62', '71', 'ba', '79', '81', '60', '1f', 'd7', '91', '9a', '9f', 'f3', 'd0', '78', '67', '71', 'c8', '69', '0e', '95', '91', 'cf', 'fe', 'e6', '99', 'e9', '60', '3c', '48', 'cc', '7e', 'ca', '4d', '77', '12', '24', '9d', '47', '1b', '5a', 'eb', 'b9', 'ec', '1e', '37', '00', '1c', '9c', 'ac', '7b', 'a7', '05', 'ea', 'ce', '4a', 'eb', 'bd', '41', 'e5', '36', '98', 'b9', 'cb', 'fd', '6d', '3c', '96', '68', 'df', '23', '2a', '42', '90', '0c', '86', '74', '67', 'c8', '7f', 'a5', '9a', 'b8', '52', '61', '14', '13', '3f', '65', 'e9', '82', '87', 'cb', 'db', 'fa', '0e', '56', 'f6', '86', '89', 'f3', '85', '3f', '97', '86', 'af', 'b0', 'dc', '1a', 'ef', '6b', '0d', '95', '16', '7d', 'c4', '2b', 'a0', '65', 'b2', '99', '04', '36', '75', '80', '6b', 'ac', '4a', 'f3', '1b', '90', '49', '78', '2f', 'a2', '96', '4f', '2a', '20', '25', '29', '04', 'c6', '74', 'c0', 'd0', '31', 'cd', '8f', '31', '38', '95', '16', 'ba', 'a8', '33', 'b8', '43', 'f1', 'b1', '1f', 'c3', '30', '7f', 'a2', '79', '31', '13', '3d', '2d', '36', 'f8', 'e3', 'fc', 'f2', '33', '6a', 'b9', '39', '31', 'c5', 'af', 'c4', '8d', '0d', '1d', '64', '16', '33', 'aa', 'fa', '84', '29', 'b6', 'd4', '0b', 'c0', 'd8', '7d', 'c3', '93', '02', '03', '01', '00', '01', 'a3', '82', '01', '7d', '30', '82']",151.121.111.79:443->246.54.201.70:33284,mldit,AppProtocol_Shoutcast,Navigator_google-chrome,Ope_BrowseKeywordSearch
0.011178,159,0.001915,246.54.201.70,151.121.111.79,33284,443,"22,20,22",16,,"0x0303,0x0303,0x0303","37,1,40",,"['c6', '56', '67', '79', '45', '7f', 'd6', 'bb', '89', 'ff', '67', '63', '08', '00', '45', '00', '00', '91', '17', '56', '40', '00', '40', '06', '5c', 'cb', 'f6', '36', 'c9', '46', '97', '79', '6f', '4f', '82', '04', '01', 'bb', 'd4', '74', '35', '87', '96', '7c', 'e3', 'dd', '80', '18', '01', 'f5', '42', '80', '00', '00', '01', '01', '08', '0a', 'b9', 'fb', '68', '7d', '5c', '74', '05', '3c', '16', '03', '03', '00', '25', '10', '00', '00', '21', '20', 'ca', '34', '1a', '5f', '0d', 'f5', '96', '5b', 'c1', 'ba', 'fd', '95', '05', '35', '1f', 'd3', '2e', 'f4', '5e', 'de', 'ac', '77', 'af', '3f', '3c', '6a', '4e', '9b', 'ea', 'c1', '2e', '20', '14', '03', '03', '00', '01', '01', '16', '03', '03', '00', '28', '00', '00', '00', '00', '00', '00', '00', '00', '45', 'e7', '6a', '9c', '96', 'f3', '87', '92', '36', '63', '7e', '95', '5d', 'a3', 'be', '80', '1a', '7f', '1a', 'f4', '0d', '7f', 'e4', '2a', '18', '06', 'ae', '20', 'b0', '1c', '94', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00']",246.54.201.70:33284->151.121.111.79:443,mldit,AppProtocol_Shoutcast,Navigator_google-chrome,Ope_BrowseKeywordSearch
0.01129,165,0.000112,246.54.201.70,151.121.111.79,33284,443,23,,,0x0303,94,,"['c6', '56', '67', '79', '45', '7f', 'd6', 'bb', '89', 'ff', '67', '63', '08', '00', '45', '00', '00', '97', '17', '57', '40', '00', '40', '06', '5c', 'c4', 'f6', '36', 'c9', '46', '97', '79', '6f', '4f', '82', '04', '01', 'bb', 'd4', '74', '35', 'e4', '96', '7c', 'e3', 'dd', '80', '18', '01', 'f5', '42', '86', '00', '00', '01', '01', '08', '0a', 'b9', 'fb', '68', '7d', '5c', '74', '05', '3c', '17', '03', '03', '00', '5e', '00', '00', '00', '00', '00', '00', '00', '01', '80', 'c3', 'b3', 'f0', '68', '25', 'af', 'cc', '92', '5b', 'a6', '94', '86', 'e5', 'a7', '19', '49', '49', 'cc', '48', 'ed', '82', '72', '3b', '5c', 'c6', '77', '44', '5e', '07', '35', '79', 'f2', '0b', 'b5', 'd7', '26', '84', 'b9', '6e', 'fe', 'c2', 'f0', '77', '43', 'a2', '8c', '96', 'ce', '83', 'af', '3b', 'c9', '48', 'ce', '67', 'b8', '19', 'f2', '09', 'd7', '5f', 'eb', '8c', '25', '4c', '24', '0e', 'c3', 'd2', '02', '45', '14', 'be', 'e8', 'f5', 'd7', 'c5', 'ee', 'e7', '17', '01', '3f', '94', 'e2', '9c', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00']",246.54.201.70:33284->151.121.111.79:443,mldit,AppProtocol_Shoutcast,Navigator_google-chrome,Ope_BrowseKeywordSearch
0.011412,384,0.000122,246.54.201.70,151.121.111.79,33284,443,23,,,0x0303,313,,"['c6', '56', '67', '79', '45', '7f', 'd6', 'bb', '89', 'ff', '67', '63', '08', '00', '45', '00', '01', '72', '17', '58', '40', '00', '40', '06', '5b', 'e8', 'f6', '36', 'c9', '46', '97', '79', '6f', '4f', '82', '04', '01', 'bb', 'd4', '74', '36', '47', '96', '7c', 'e3', 'dd', '80', '18', '01', 'f5', '43', '61', '00', '00', '01', '01', '08', '0a', 'b9', 'fb', '68', '7d', '5c', '74', '05', '3c', '17', '03', '03', '01', '39', '00', '00', '00', '00', '00', '00', '00', '02', '8a', '31', '94', 'c3', '49', 'e8', '5d', '75', 'f4', '9c', 'ee', '84', '6f', '4c', 'a9', 'f6', '69', 'd0', 'e0', '96', 'd3', 'f7', '04', '6c', 'e1', 'df', '5d', '7e', '92', '2b', '23', '97', '1c', 'b2', 'c4', 'a6', '90', '7d', '38', '49', 'e6', '4e', 'b7', '39', 'ad', '92', 'f0', '9a', '1d', '35', 'b8', 'b4', '50', '58', '6b', '9e', '69', 'a6', 'd5', 'fd', 'ad', '80', '56', 'c3', '3d', 'a6', '08', '43', '1b', 'fe', 'eb', '6f', 'c5', '61', '4e', 'd5', 'e0', '04', '9d', 'd9', '7f', '68', '45', '6a', 'b2', '15', '43', 'ed', '44', 'ee', 'ff', '1b', 'f4', '0f', '94', '75', '10', 'f0', 'fe', 'a4', 'cb', 'fe', '08', '19', 'bf', 'b9', '66', 'cd', 'c8', '26', '62', '38', '0f', '2a', '6c', '21', 'ee', 'ad', '24', 'dc', 'b1', '17', '6e', 'be', 'a3', '9f', 'a8', '98', '34', 'cb', 'fc', '3f', '50', '4f', '06', 'c3', '6f', '26', '60', 'b8', '73', '98', 'e2', 'f2', '4e', 'fb', 'c4', '8a', '9a', 'db', '31', '06', '7f', 'a3', '8d', 'd3', '1f', '40', '62', '29', '9f', 'a9', '45', '67', '35', '37', '31', 'f0', 'c0', 'd4', '22', 'f7', '32', 'e7', '6b', 'e1', 'aa', '6a', 'd0', '75', 'ab', '85', '9b', '5f', '19', '46', 'bc', '7e', '06', 'f4', '79', '1c', 'c4', '15', '8d', 'c3', 'f6', '14', '9a', '78', '6a', '18', '0d', '47', 'd2', '85', 'ef', '50', '92', '51', '2d', 'd2', 'cb', 'b9', '42', '01', 'ef', 'f1', '68', '46', '2f', '49', 'ee', 'e1', '97', 'df', '6d', 'ec', 'f2', 'a9', '59', 'ce', 'fa', '35', 'a8', '21', '3d', '0f', '7d', 'a6', '7a', '16', 'b4', '1e', '87', '9f', '63', 'd4', 'a9', '31', '67', '60', '3a', '9e', '23', 'ef', 'f0', '6f', '47', '0f', '86', '84', '10', '82', '73', '58', 'c2', '3e', '9e', '32', 'dd', '54', 'b3', '07', 'f8', 'c6', '97', 'c1', '98', '58', '30', 'ec', 'a7', 'b4', 'fc', '71', 'd1', 'b9', 'dc', '54', '3f', '24', '43', 'd6', '1e', 'e3', 'c3', '40', 'ca', 'de', 'cb', 'eb', 'cf', '93', 'c1', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00']",246.54.201.70:33284->151.121.111.79:443,mldit,AppProtocol_Shoutcast,Navigator_google-chrome,Ope_BrowseKeywordSearch
0.063633,340,5e-06,151.121.111.79,246.54.201.70,443,33284,"22,20,22",4,,"0x0303,0x0303,0x0303","218,1,40",,"['d6', 'bb', '89', 'ff', '67', '63', 'c6', '56', '67', '79', '45', '7f', '08', '00', '45', '00', '01', '46', 'c3', 'a5', '40', '00', '2e', '06', 'c1', 'c6', '97', '79', '6f', '4f', 'f6', '36', 'c9', '46', '01', 'bb', '82', '04', '96', '7c', 'e3', 'dd', 'd4', '74', '36', '47', '80', '18', '00', 'a8', 'ea', '91', '00', '00', '01', '01', '08', '0a', '5c', '74', '05', '7a', 'b9', 'fb', '68', '7d', '16', '03', '03', '00', 'da', '04', '00', '00', 'd6', '00', '00', '02', '58', '00', 'd0', '19', '3e', '6b', '1d', 'bf', '80', '8e', '2c', '5c', '40', '28', '8e', '39', '6c', '98', '90', '5f', '87', '3b', '4c', 'e6', 'b5', '94', 'bd', '29', '4b', '6e', '78', 'ed', '70', '18', '4c', '74', '1a', 'cc', '79', 'c8', 'cc', '35', 'b0', '21', 'b2', 'c9', '78', '27', 'd3', 'ec', '2d', '11', 'ad', '77', 'fc', '98', 'e0', '1e', 'ce', '12', '77', 'c7', '94', '76', 'c0', '63', '21', '5c', 'a2', '24', '54', '09', '9b', '1c', 'c6', '40', '26', 'e0', '8e', 'a7', '69', '9d', 'da', '00', 'a5', 'ad', '1a', '36', 'a6', 'e6', '3b', '82', 'd4', '33', 'e2', '99', '25', '80', 'b8', '94', '41', '08', '1f', '9d', '44', '44', '3e', 'dc', 'bd', 'cd', '2d', 'f4', '83', 'fd', '70', '0d', '95', '75', '06', '04', '68', '9c', '9a', '64', '7d', 'f2', '1c', 'f0', '6d', '6b', 'f0', '49', 'fd', 'c1', '40', '85', '50', 'fc', 'd5', '3f', 'df', '8b', 'ed', '3a', '27', '82', 'be', 'ff', '70', '0d', '82', 'ee', '43', '6b', 'e8', 'c6', '21', 'fc', '3f', '92', 'd8', '8a', '4e', '1c', '76', '5b', '83', '87', '48', '73', '0f', '94', '3d', '39', 'e9', '32', 'a6', '0d', 'ae', '84', '49', '06', '4d', '2f', 'a8', '05', 'd9', '8c', 'dd', 'd7', 'bd', 'e8', '29', '99', '93', 'fb', '9d', 'b1', '5b', '98', '4c', '13', '54', 'c9', '57', '44', '47', '97', 'd8', '32', 'f4', '14', '03', '03', '00', '01', '01', '16', '03', '03', '00', '28', '54', '29', 'a3', 'ba', '86', 'cd', '20', '9c', 'b8', 'a5', '63', '38', '1d', '41', '4b', '8e', '31', '2e', '2c', '6d', 'd8', '35', 'f0', '89', '65', 'c3', '21', '4a', 'd0', '5f', 'f0', 'fc', 'bb', '0e', '85', '01', 'a2', 'fc', 'c4', '55', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00']",151.121.111.79:443->246.54.201.70:33284,mldit,AppProtocol_Shoutcast,Navigator_google-chrome,Ope_BrowseKeywordSearch
